company_id,company_label,company_community,repo_count,owner_count,total_stars,small_company,dominant_repo_community,domain_group,pagerank,betweenness,eigenvector
swz30,swz30,0,1,1,1381,1,2,CV,0.00023201856148491882,0.0,1.0
google-research,google-research,1,8,1,55664,0,2,Cross-domain,0.002549892415686009,0.026408343519207986,0.041830348682036014
hkchengrex,hkchengrex,1,4,1,6043,0,1,CV,0.002259309478303792,0.00022479171642524976,0.05378930269820589
graykode,graykode,1,3,1,19163,1,0,NLP,0.0007346512857033132,0.005666624518219837,0.0014866151739600221
openvinotoolkit,openvinotoolkit,1,3,1,14395,1,2,Cross-domain,0.0027315210665497447,0.007483690892657273,0.054340427229495884
kaiyangzhou,KaiyangZhou,1,3,1,7230,1,2,CV,0.0012518161081762644,0.0029831734033934185,0.021240540180956058
nlp-love,NLP-LOVE,1,2,1,19902,1,0,NLP,0.0008088737874672853,0.002964440760357981,6.484799227335324e-06
alicevision,alicevision,1,2,1,16098,1,2,CV,0.002007214137906548,0.0037699444108817925,0.03324558412373726
crownpku,crownpku,1,2,1,10198,1,0,NLP,0.001855428874698145,0.01173131770094272,0.005880552038679923
nvidia,NVIDIA,1,2,1,9842,1,0,CV,0.003802907191768257,0.013539017753862438,0.07874947117248847
astorfi,astorfi,1,2,1,6403,1,2,CV,0.0019498060245678323,9.36632151771874e-06,0.042054070840968065
makcedward,makcedward,1,2,1,5738,1,2,NLP,0.0022368292466014308,0.00022947487718410911,0.038459628889409694
yongzhuo,yongzhuo,1,2,1,3349,1,2,NLP,0.0014177531706997687,9.36632151771874e-06,0.029528931069644798
ahmetozlu,ahmetozlu,1,2,1,2260,1,2,CV,0.004295109252877862,0.04341758339538521,0.09531794612315803
tensorlayer,tensorlayer,1,2,1,2111,1,2,Cross-domain,0.004025525323764651,0.016742299712922248,0.08606792364772589
google-ai-edge,google-ai-edge,1,1,1,34904,1,2,CV,0.0017779556780961956,0.013791908434840844,0.026137870135866978
ai4finance-foundation,AI4Finance-Foundation,1,1,1,19752,1,2,NLP,0.002434878600331129,0.004247626808285448,0.04559830581487782
davidsandberg,davidsandberg,1,1,1,14316,1,2,CV,0.0028881303597042833,0.0062145543270063835,0.052065541331659075
carla-simulator,carla-simulator,1,1,1,13879,1,2,CV,0.002777093771538951,0.01702328935845381,0.03559062373580672
tangyudi,tangyudi,1,1,1,12921,1,0,NLP,0.0005879892869221372,0.0,2.988585290020213e-08
colmap,colmap,1,1,1,11523,1,2,CV,0.0025204245406851337,0.0194444834707841,0.042249514019260366
advimman,advimman,1,1,1,9892,1,2,CV,0.00281618902522026,7.024741138289054e-05,0.0670880196906077
jadore801120,jadore801120,1,1,1,9700,1,2,NLP,0.001673854314722165,0.0016063241402887638,0.02835109333041015
hironsan,Hironsan,1,1,1,6281,1,2,CV,0.0012223062383046484,6.556425062403117e-05,0.022573832879150286
nfmcclure,nfmcclure,1,1,1,6246,1,2,NLP,0.0026675680325006367,0.007591403590111038,0.05291887912102786
chatopera,chatopera,1,1,1,5103,1,0,NLP,0.00026972285626985083,0.0,2.146294520362543e-05
