owner_login,owner_type,owner_name,company_raw,company_canonical,company_id,company_label,repo_name_with_owner,kept,drop_reason
1adrianb,User,Adrian Bulat,Samsung AI Research,samsung ai research,samsung ai research,Samsung AI Research,1adrianb/2D-and-3D-face-alignment,1,
3DTopia,Organization,3D Topia,3D Topia,3d topia,3d topia,3D Topia,3DTopia/OpenLRM,1,
3d-morphable-models,Organization,3d-morphable-models,3d-morphable-models,3d morphable models,3d morphable models,3d-morphable-models,3d-morphable-models/curated-list-of-awesome-3D-Morphable-Model-software-and-data,1,
666ghj,User,BaiFu,"BUPT, Shanda",bupt shanda,bupt shanda,"BUPT, Shanda",666ghj/BettaFish,1,
AI4Finance-Foundation,Organization,AI4Finance Foundation,AI4Finance Foundation,ai4finance foundation,ai4finance foundation,AI4Finance Foundation,AI4Finance-Foundation/FinGPT,1,
ARM-software,Organization,Arm Software,Arm Software,arm software,arm software,Arm Software,ARM-software/ComputeLibrary,1,
AaronJackson,User,Aaron S. Jackson,University of Dundee,university of dundee,university of dundee,University of Dundee,AaronJackson/vrn,1,
AlibabaResearch,Organization,Alibaba Research,Alibaba Research,alibaba research,alibaba research,Alibaba Research,AlibabaResearch/AdvancedLiterateMachinery,1,
AndrewZhe,User,Quzhe Huang,Peking University,peking university,peking university,Peking University,AndrewZhe/lawyer-llama,1,
AnswerDotAI,Organization,Answer.AI,Answer.AI,answer.ai,answer.ai,Answer.AI,AnswerDotAI/ModernBERT,1,
AnswerDotAI,Organization,Answer.AI,Answer.AI,answer.ai,answer.ai,Answer.AI,AnswerDotAI/byaldi,1,
Anything-of-anything,User,Anything-of-Anything ,National University of Singapore,national university of singapore,national university of singapore,National University of Singapore,Anything-of-anything/Anything-3D,1,
AutoGPTQ,Organization,AutoGPTQ,AutoGPTQ,autogptq,autogptq,AutoGPTQ,AutoGPTQ/AutoGPTQ,1,
BrikerMan,User,Eliyar Eziz,"Yodo1, Ltd.",yodo1,yodo1,"Yodo1, Ltd.",BrikerMan/Kashgari,1,
BrokenSource,Organization,Broken Source Software,Broken Source Software,broken source software,broken source software,Broken Source Software,BrokenSource/DepthFlow,1,
CLUEbenchmark,Organization,CLUE benchmark,CLUE benchmark,clue benchmark,clue benchmark,CLUE benchmark,CLUEbenchmark/CLUECorpus2020,1,
CLUEbenchmark,Organization,CLUE benchmark,CLUE benchmark,clue benchmark,clue benchmark,CLUE benchmark,CLUEbenchmark/CLUEDatasetSearch,1,
CMU-Perceptual-Computing-Lab,Organization,CMU-Perceptual-Computing-Lab,CMU-Perceptual-Computing-Lab,cmu perceptual computing lab,cmu perceptual computing lab,CMU-Perceptual-Computing-Lab,CMU-Perceptual-Computing-Lab/openpose,1,
CSAILVision,Organization,MIT CSAIL Computer Vision,MIT CSAIL Computer Vision,mit csail computer vision,mit csail computer vision,MIT CSAIL Computer Vision,CSAILVision/LabelMeAnnotationTool,1,
CVHub520,User,CVHub,DJI,dji,dji,DJI,CVHub520/X-AnyLabeling,1,
CVI-SZU,Organization,"Computer Vision Institute, SZU","Computer Vision Institute, SZU",computer vision institute szu,computer vision institute szu,"Computer Vision Institute, SZU",CVI-SZU/Linly,1,
CalciferZh,User,Yuxiao Zhou,ETH Zurich,eth zurich,eth zurich,ETH Zurich,CalciferZh/minimal-hand,1,
Cartucho,User,Cartucho,Imperial College London,imperial college london,imperial college london,Imperial College London,Cartucho/mAP,1,
Charmve,User,Wei ZHANG,公众号: 迈微AI研习社,ai,ai,公众号: 迈微AI研习社,Charmve/computer-vision-in-action,1,
ChineseGLUE,Organization,ChineseGLUE,ChineseGLUE,chineseglue,chineseglue,ChineseGLUE,ChineseGLUE/ChineseGLUE,1,
DLR-RM,Organization,DLR-RM,DLR-RM,dlr rm,dlr rm,DLR-RM,DLR-RM/3DObjectTracking,1,
Delta-ML,Organization,DELTA,DELTA,delta,delta,DELTA,Delta-ML/delta,1,
DengBoCong,User,DengBoCong,@ByteDance,bytedance,bytedance,@ByteDance,DengBoCong/nlp-paper,1,
Denis2054,User,Denis Rothman,AI Architect & Author | Speaker & Instructor,ai architect & author speaker & instructor,ai architect & author speaker & instructor,AI Architect & Author | Speaker & Instructor,Denis2054/Transformers-for-NLP-2nd-Edition,1,
DerwenAI,Organization,derwen.ai,derwen.ai,derwen.ai,derwen.ai,derwen.ai,DerwenAI/pytextrank,1,
DirtyHarryLYL,User,Yong-Lu Li,@MVIG-SJTU,mvig sjtu,mvig sjtu,@MVIG-SJTU,DirtyHarryLYL/Transformer-in-Vision,1,
DragonComputer,Organization,DRAGON.COMPUTER,DRAGON.COMPUTER,dragon.computer,dragon.computer,DRAGON.COMPUTER,DragonComputer/Dragonfire,1,
EdinburghNLP,Organization,Edinburgh NLP,Edinburgh NLP,edinburgh nlp,edinburgh nlp,Edinburgh NLP,EdinburghNLP/awesome-hallucination-detection,1,
EutropicAI,Organization,Eutropic,Eutropic,eutropic,eutropic,Eutropic,EutropicAI/Final2x,1,
EvelynFan,User,Evelyn,The University of Hong Kong,the university of hong kong,the university of hong kong,The University of Hong Kong,EvelynFan/FaceFormer,1,
FORTH-ModelBasedTracker,Organization,FORTH  Computational Vision and Robotics Laboratory,FORTH  Computational Vision and Robotics Laboratory,forth computational vision and robotics laboratory,forth computational vision and robotics laboratory,FORTH  Computational Vision and Robotics Laboratory,FORTH-ModelBasedTracker/MocapNET,1,
FudanDISC,Organization,FudanDISC,FudanDISC,fudandisc,fudandisc,FudanDISC,FudanDISC/DISC-LawLLM,1,
Future-Scholars,Organization,Future Scholars,Future Scholars,future scholars,future scholars,Future Scholars,Future-Scholars/paperlib,1,
GaParmar,User,Gaurav Parmar,Carnegie Mellon University,carnegie mellon university,carnegie mellon university,Carnegie Mellon University,GaParmar/clean-fid,1,
GaParmar,User,Gaurav Parmar,Carnegie Mellon University,carnegie mellon university,carnegie mellon university,Carnegie Mellon University,GaParmar/img2img-turbo,1,
GeeeekExplorer,User,Xingkai Yu,"@deepseek-ai, Nanjing University",deepseek ai nanjing university,deepseek ai nanjing university,"@deepseek-ai, Nanjing University",GeeeekExplorer/nano-vllm,1,
HKUSTDial,Organization,Data Intelligence and Analytics Lab @ HKUST(GZ),Data Intelligence and Analytics Lab @ HKUST(GZ),data intelligence and analytics lab hkust gz,data intelligence and analytics lab hkust gz,Data Intelligence and Analytics Lab @ HKUST(GZ),HKUSTDial/NL2SQL_Handbook,1,
HenryNdubuaku,User,Henry Ndubuaku,Cactus Compute,cactus compute,cactus compute,Cactus Compute,HenryNdubuaku/maths-cs-ai-compendium,1,
HumanSignal,Organization,HumanSignal,HumanSignal,humansignal,humansignal,HumanSignal,HumanSignal/label-studio,1,
HyperGAN,Organization,HyperGAN,HyperGAN,hypergan,hypergan,HyperGAN,HyperGAN/HyperGAN,1,
Hyperparticle,User,Dan Kondratyuk,rekursiv.ai,rekursiv.ai,rekursiv.ai,rekursiv.ai,Hyperparticle/one-pixel-attack-keras,1,
HypoX64,User,Hypo,Tencent,tencent,tencent,Tencent,HypoX64/DeepMosaics,1,
IAAR-Shanghai,Organization,Memtensor Research Group,Memtensor Research Group,memtensor research group,memtensor research group,Memtensor Research Group,IAAR-Shanghai/SurveyX,1,
IBM,Organization,International Business Machines,International Business Machines,international business machines,international business machines,International Business Machines,IBM/MAX-Image-Resolution-Enhancer,1,
IDEA-Research,Organization,IDEA-Research,IDEA-Research,idea research,idea research,IDEA-Research,IDEA-Research/DINO,1,
IntelLabs,Organization,Intel Labs,Intel Labs,intel labs,intel labs,Intel Labs,IntelLabs/RAG-FiT,1,
IntelLabs,Organization,Intel Labs,Intel Labs,intel labs,intel labs,Intel Labs,IntelLabs/fastRAG,1,
IntelLabs,Organization,Intel Labs,Intel Labs,intel labs,intel labs,Intel Labs,IntelLabs/nlp-architect,1,
JDAI-CV,Organization,JDAI-CV,JDAI-CV,jdai cv,jdai cv,JDAI-CV,JDAI-CV/fast-reid,1,
JasonKessler,User,Jason S. Kessler,Personal Account,personal account,personal account,Personal Account,JasonKessler/scattertext,1,
JohnSnowLabs,Organization,John Snow Labs,John Snow Labs,john snow labs,john snow labs,John Snow Labs,JohnSnowLabs/spark-nlp,1,
KevinMusgrave,User,Kevin Musgrave,Fujitsu Research,fujitsu research,fujitsu research,Fujitsu Research,KevinMusgrave/pytorch-metric-learning,1,
KlingAIResearch,Organization,KlingAI Research,KlingAI Research,klingai research,klingai research,KlingAI Research,KlingAIResearch/ReCamMaster,1,
Kobaayyy,User,Kobaayyy,Fuzhou University,fuzhou university,fuzhou university,Fuzhou University,Kobaayyy/Awesome-CVPR2026-CVPR2025-CVPR2024-CVPR2021-CVPR2020-Low-Level-Vision,1,
KudoAI,Organization,KudoAI,KudoAI,kudoai,kudoai,KudoAI,KudoAI/chatgpt.js,1,
Kyubyong,User,Kyubyong Park,TUNiB,tunib,tunib,TUNiB,Kyubyong/nlp_tasks,1,
LMD0311,User,Xin Zhou,Huazhong University of Science & Technology,huazhong university of science & technology,huazhong university of science & technology,Huazhong University of Science & Technology,LMD0311/Awesome-World-Model,1,
Layout-Parser,Organization,layout-parser,layout-parser,layout parser,layout parser,layout-parser,Layout-Parser/layout-parser,1,
LexPredict,Organization,LexPredict,LexPredict,lexpredict,lexpredict,LexPredict,LexPredict/lexpredict-lexnlp,1,
Linketic,Organization,Linketic,Linketic,linketic,linketic,Linketic,Linketic/CityGaussian,1,
M-3LAB,Organization,M3LAB,M3LAB,m3lab,m3lab,M3LAB,M-3LAB/awesome-industrial-anomaly-detection,1,
MAC-VO,Organization,MAC-VO,MAC-VO,mac vo,mac vo,MAC-VO,MAC-VO/MAC-VO,1,
